RedBull,Ferrari,Mercedes,McLaren,AstonMartin,Alpine,KickSauber,Haas,VCARB,Williams
0,1,0,0,1,1,1,3,2,4
0,0,0,1,21,21,6,0,8,0
20,0,30,0,0,0,0,0,0,0
0,0,0,4,0,0,21,0,20,20
1,0,0,5,24,0,22,4,40,0
1,3,5,23,29,0,1,4,0,24
0,1,0,0,0,3,1,0,7,25
20,0,0,0,0,20,1,70,0,0
