VER,PER,SAI,LEC,HAM,RUS,NOR,PIA,ALO,STR,OCO,GAS,RIC,TSU,ALB,SAR,MAG,HUL,BOT,ZHO
30,20.8,18.5,19.1,19.3,18.8,23,19,15.8,10.7,7.8,7.8,9,8,7,5.5,6.2,6.4,6.4,6.6
30.2,21.1,18.8,19.4,19.4,19.1,23.1,19.1,15.9,11.2,8.3,7.7,8.9,7.8,6.8,5.4,6.7,6.2,6.2,7.1
30.4,22.1,18.8,20.4,19.5,19.2,23.2,19.4,16.2,11,8.8,7.5,8.7,7.6,7.3,5.9,7.2,6.7,6,6.9
29.7,22.4,19.8,21.4,19,18.7,23.5,19.7,16.3,12,8.6,7.4,9.2,8.1,7.2,5.9,7.7,7.2,5.9,6.8
29.9,22.7,20.1,21.7,18.7,18.8,23.8,19.8,16.4,12.5,8.5,7.3,9,8.6,7,6.4,8.2,7.7,6.4,6.6
30.1,23,20.4,22,19,19.1,24.1,19.9,16.5,13,9,7.8,8.8,8.4,7.5,6.3,8.7,7.6,6.2,7.1
30.2,23.3,20.7,22.3,19.1,19.2,24.4,20,16.6,12.8,9.5,8.3,9.3,9.4,8,6.1,8.6,8.1,6.7,7.6
