RedBull,Ferrari,Mercedes,McLaren,AstonMartin,Alpine,KickSauber,Haas,VCARB,Williams
26,26,20,17,10,-1,-1,6,3,1
28,14,17,21,18,-1,-6,3,7,1
28,25,9,22,13,1,1,1,8,1
29,20,16,23,11,1,1,1,6,1
29,19,8,23,13,3,6,7,1,1
27,27,17,21,3,3,-1,7,6,1
