Driver1,Driver2,Driver3,Driver4,Driver5,Constr1,Constr2,DRS,Chip
VER,STR,LEC,HUL,SAR,Ferrari,VCARB,VER,NoNegative
VER,STR,LEC,HUL,SAR,Mercedes,Williams,None
